time,close,high,low,open,volume,ticker,sentiment_score,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,log_ret,price_change,sma_10,sma_20,target_3class,target_price_next
2021-02-26,17031.75,17069.101926994015,16284.744921259688,16322.09498930148,10429645.0,HPG,0.0,92.53403052074108,489.16046252995875,403.98778204954226,85.17268048041649,14473.19319243522,15707.68154296875,16942.16989350228,15.718275764078319,1.036282281019098,0.051755024306551364,0.05311772266596648,16114.799609375,15707.68154296875,1,17255.8515625
2021-03-01,17255.8515625,17293.201629016472,17106.45129643411,17274.526595758238,5605713.0,HPG,0.0,92.87074331590325,547.9993864331991,432.7901029262736,115.20928350692549,14615.365984855167,15854.28154296875,17093.197101082333,15.62878210224584,1.0656438852319083,0.013072057738670371,0.013157870594624699,16312.75615234375,15854.28154296875,1,17442.60546875
2021-03-02,17442.60546875,17592.007608455187,17255.853258856598,17479.955538938215,6031935.0,HPG,0.0,93.14807255414243,602.7509986914865,466.7822820793162,135.96871661217034,14592.322106445223,15970.067626953125,17347.813147461027,17.254097511555216,1.0344012445977788,0.010764496496841585,0.010822642138151428,16529.3880859375,15970.067626953125,0,17479.953125
2021-03-03,17479.953125,17573.32828757566,17367.90292990921,17386.57796242434,5673165.0,HPG,0.0,93.20499967647112,641.7579039657376,501.7774064566005,139.98049750913708,14534.111716916239,16059.708349609375,17585.30498230251,18.999057759728785,0.965471916021297,0.0021388851213750694,0.002141174167867854,16654.51181640625,16059.708349609375,-1,17143.80078125
2021-03-04,17143.80078125,17517.303292693687,16807.648335055474,17517.303292693687,7125470.0,HPG,0.0,86.25850250057668,638.1898176681807,529.0598886989166,109.12992896926414,14552.588783472982,16136.27646484375,17719.96414621452,19.628911103762544,0.8180943844730111,-0.019418050802940828,-0.01923073485072635,16731.0798828125,16136.27646484375,0,17181.15234375
2021-03-05,17181.15234375,17218.50241225403,16844.99986826148,17050.427103985894,5452460.0,HPG,0.0,86.37997053811887,631.1011018490881,549.4681313289509,81.63297052013718,14556.820526405074,16201.639501953125,17846.458477501175,20.304352227436812,0.797757034773539,0.00217635124551901,0.0021787212168757897,16826.32353515625,16201.639501953125,0,17293.201171875
2021-03-08,17293.201171875,17517.303424001897,17181.1509752876,17405.253227414498,4530220.0,HPG,0.0,86.75811774916305,627.2935973757321,565.0332245383072,62.26037283742494,14649.251061322586,16302.48525390625,17955.719446489915,20.281989731443332,0.7996296357809007,0.0065004393850357275,0.006521613095745504,16934.639453125,16302.48525390625,0,17125.126953125
2021-03-09,17125.126953125,17255.85219069165,16826.3245511633,17181.152054939277,4151064.0,HPG,0.0,83.03405025816585,603.7542348552888,572.7774266017035,30.976808253585318,14776.91260733165,16394.927294921876,18012.941982512104,19.737991617582683,0.7256467953608747,-0.009766630973273812,-0.009719092323019374,17029.8828125,16394.927294921876,0,17031.75
2021-03-10,17031.75,17125.127029056704,16863.67469381193,17125.127029056704,4019243.0,HPG,0.0,80.95495616394824,570.9824504677035,572.4184313749035,-1.435980907200019,14931.099128553917,16482.70048828125,18034.301848008585,18.827028505801948,0.6769299531341074,-0.005467548211227409,-0.005452628373535107,17115.7884765625,16482.70048828125,1,17330.5546875
2021-03-11,17330.5546875,17423.929859895747,17106.452414797943,17143.80248375624,3967487.0,HPG,0.0,82.46777636343764,562.6358998738069,570.4619250746842,-7.826025200877325,15099.487844044665,16585.413916015626,18071.33998798659,17.91846835412513,0.7507327872967471,0.017391861341723252,0.017543980360209543,17231.574609375,16585.413916015626,0,17349.23046875
