time,close,high,low,open,volume,ticker,sentiment_score,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,log_ret,price_change,sma_10,sma_20,target_3class,target_price_next
2021-02-26,77196.0390625,77269.69940511689,76164.79426586356,76312.11495109733,335780.0,VNM,0.0,75.11570136984916,449.2563517726812,768.4022289069427,-319.14587713426147,76694.42008355357,79166.448828125,81638.47757269641,6.2451424338568975,0.10145896969199535,-0.020775010554534602,-0.020560696712699222,79184.8640625,79166.448828125,0,77785.328125
2021-03-01,77785.328125,78006.30917080966,77343.36603338068,77711.66777639677,217900.0,VNM,0.0,76.05570882701474,334.0345635462727,681.5286958348088,-347.4941322885361,77308.56504763468,79273.25625,81237.94745236533,4.956756654903595,0.12133282746706914,0.007604680654596159,0.007633669676016641,79008.08125,79273.25625,0,77269.6875
2021-03-02,77269.6875,78448.25280028599,76606.74451858914,78227.27180648237,305010.0,VNM,0.0,73.44143847264034,198.82069597802183,584.9870958634514,-386.16639988542954,77091.45066330563,79218.010546875,81344.57043044436,5.368879801168539,0.04190731661767383,-0.006651091211554012,-0.006629021660374934,78779.734375,79218.010546875,0,76975.0546875
2021-03-03,76975.0546875,77269.6960451555,76606.75299043063,77196.03570574163,255130.0,VNM,0.0,71.92023109597113,67.1146700088575,481.41261069253267,-414.29794068367517,76813.69922748231,79026.49296875,81239.28671001768,5.600131444888246,0.03645967019168448,-0.0038203334086762027,-0.003813045219058231,78470.36015625,79026.49296875,-1,76164.796875
2021-03-04,76164.796875,77711.66412294487,75870.15549443907,77490.68308752417,275510.0,VNM,0.0,67.76333815819049,-101.47460227478587,364.835168099069,-466.30977037385486,76339.27926939935,78827.609765625,81315.94026185066,6.313347578657035,-0.035060132619845426,-0.010582031590516508,-0.010526238867766269,78057.8625,78827.609765625,0,75870.1640625
2021-03-05,75870.1640625,75943.82441595873,74912.5794675364,75943.82441595873,418760.0,VNM,0.0,66.26353273866613,-255.9072809611098,240.68667828703326,-496.59395924814305,75934.80246978365,78584.53125,81234.26003021635,6.74363958928965,-0.012197174247843978,-0.0038758609141158655,-0.003868359459863635,77689.56328125,78584.53125,0,75280.8671875
2021-03-08,75280.8671875,76312.11194349315,74912.56548893101,76164.79126406556,320820.0,VNM,0.0,63.24826120906665,-420.99465992092155,108.3504106454423,-529.3450705663638,75462.90362210391,78470.358203125,81477.81278414608,7.665199063412241,-0.030264203448437225,-0.007797497058955356,-0.0077671754408564775,77299.1625,78470.358203125,-1,74028.6484375
2021-03-09,74028.6484375,74765.2519045398,73807.66739738805,74470.61051772388,414190.0,VNM,0.0,57.28326275415495,-645.4310575683921,-42.40588299732458,-603.0251745710675,74640.2455642364,78194.1328125,81748.0200607636,9.089907696234437,-0.0860462198167954,-0.016773855372957256,-0.01663395756163555,76820.37109375,78194.1328125,0,74470.6171875
2021-03-10,74470.6171875,75501.86213371661,73513.03259458457,74028.65506769287,339130.0,VNM,0.0,58.76155424693655,-778.6594339865842,-189.65659319517653,-589.0028407914076,74081.47988056792,77940.005859375,81798.53183818208,9.901271975187981,0.05042564298768705,0.005952488089818917,0.005970239350960638,76385.7765625,77940.005859375,1,75722.828125
2021-03-11,75722.828125,76459.43151142995,75207.20575449902,75501.84710907101,241700.0,VNM,0.0,62.70013600990532,-774.2755580009834,-306.5803861563379,-467.69517184464553,73847.0967137065,77748.489453125,81649.8821925435,10.035931930923681,0.24039253884153614,0.016675027997598717,0.016814832276026648,76076.403125,77748.489453125,0,75280.8671875
2021-03-12,75280.8671875,76091.13092435176,74912.56548893101,75870.14990521038,270460.0,VNM,0.0,60.503738883997116,-797.2733874082624,-404.7189864067228,-392.55440100153953,73582.02592981151,77534.875,81487.72407018849,10.196312485674317,0.2148882018416504,-0.005853660714460424,-0.0058365614233323315,75884.8859375,77534.875,0,75280.8671875
2021-03-15,75280.8671875,75870.14990521038,75207.2068477862,75722.82922578277,237940.0,VNM,0.0,60.503738883997116,-806.2058932127256,-485.01636776792344,-321.1895254448022,73365.89658761372,77321.260546875,81276.62450613627,10.230986746170252,0.24207261577060127,0.0,0.0,75634.43984375,77321.260546875,-1,74396.9453125
2021-03-16,74396.9453125,75354.52975711632,73734.00223545791,75280.86941522277,412110.0,VNM,0.0,55.957037225871474,-874.5290499744879,-562.9189042092364,-311.61014576525145,73048.89149802826,77063.45,81078.00850197174,10.418839286255002,0.16789564952281177,-0.011811131336194278,-0.011741653729870571,75347.165625,77063.45,0,74028.6484375
2021-03-17,74028.6484375,74396.9501710199,73734.00705068407,74396.9501710199,356840.0,VNM,0.0,54.13173400808919,-947.4722534206085,-639.8295740515109,-307.64267936909755,72790.28416660303,76761.442578125,80732.60098964698,10.346752948214263,0.15591977737578583,-0.004962724036763079,-0.004950430067430789,75052.525,76761.442578125,1,75501.8515625
2021-03-18,75501.8515625,75501.8515625,74396.94641768294,74396.94641768294,255340.0,VNM,0.0,59.782925962506305,-876.3036050844239,-687.1243802580935,-189.17922482633037,72883.09892269764,76522.046484375,80160.99404605235,9.510847471703181,0.35982280527769683,0.019705020629185548,0.019900446058309207,74986.23046875,76522.046484375,0,74912.5625
2021-03-19,74912.5625,75280.86418387415,74691.58148967552,75280.86418387415,233940.0,VNM,0.0,56.76994331876916,-857.5671408029884,-721.2129323670727,-136.35420843591578,72880.27012589923,76290.016796875,79699.76346785077,8.938906593910835,0.29801222351794027,-0.007835579870246249,-0.007804961736762039,74890.4703125,76290.016796875,0,74249.609375
2021-03-22,74249.609375,74986.21264260913,74102.28872147818,74912.55231584821,341630.0,VNM,0.0,53.50303457716651,-885.9998794337444,-754.1703217804071,-131.82955765333725,72805.62979955203,76043.253515625,79280.87723169796,8.515216186555495,0.2229999070428462,-0.008889083364437448,-0.008849692266233666,74787.34453125,76043.253515625,0,73807.6640625
2021-03-23,73807.6640625,74175.96577937875,73439.36234562127,74102.305436003,455430.0,VNM,0.0,51.38034751503341,-933.434273609586,-790.023112146243,-143.41116146334298,72686.18920571926,75792.80859375,78899.42798178074,8.197662669244103,0.18049762727638702,-0.005969941426359539,-0.005952156734831293,74765.24609375,75792.80859375,-1,72702.765625
2021-03-24,72702.765625,73660.35017730496,72555.44492464539,73365.70877659574,319220.0,VNM,0.0,46.421660059175906,-1048.1005914270063,-841.6386080023957,-206.4619834246106,72430.4951791248,75487.11875,78543.74232087519,8.09839777034858,0.044537778297188156,-0.015083149874586149,-0.014969968925779509,74588.4609375,75487.11875,0,72555.4375
2021-03-25,72555.4375,73439.36161167514,72408.11681472082,72923.73921319797,315270.0,VNM,0.0,45.78711716572658,-1137.747379273409,-900.8603622565984,-236.88701701681066,72274.75309727201,75174.0625,78073.37190272799,7.7135897843168655,0.04840538965311688,-0.002028500592041711,-0.0020264445751612126,74271.721875,75174.0625,-1,71745.1640625
2021-03-26,71745.1640625,72555.42772234343,71155.88140079568,72187.12605877823,365370.0,VNM,0.0,42.35782422770887,-1259.6548818109004,-972.6192661674588,-287.0356156434416,71785.79193025212,74901.51875,78017.24556974789,8.319529087647195,-0.006519805827425863,-0.01123047229074556,-0.01116764594659081,73918.1515625,74901.51875,1,72923.7421875
2021-03-29,72923.7421875,73586.68529829546,72039.81803977273,72260.79907670454,279030.0,VNM,0.0,48.41033348816079,-1246.7937882797705,-1027.4541705899212,-219.33961768984932,71737.5411629947,74658.439453125,77579.3377432553,7.824696876939702,0.203054147505489,0.016293815033763336,0.016427283154210937,73682.4390625,74658.439453125,0,73071.0703125
2021-03-30,73071.0703125,73734.0134907384,72629.1081936744,73365.71172505041,259040.0,VNM,0.0,49.12940793924102,-1210.756285789219,-1064.1145936297808,-146.6416921594382,71720.67824275672,74448.50859375,77176.33894474327,7.32809938713071,0.24752127075123348,0.002018265888871893,0.0020203039583623905,73549.8515625,74448.50859375,0,72481.78125
2021-03-31,72481.78125,72997.40367759146,72187.13986280488,72997.40367759146,281560.0,VNM,0.0,46.346762078605664,-1215.7327969628386,-1094.4382342963922,-121.29456266644638,71635.60701347991,74223.844921875,76812.0828302701,6.974141291439075,0.16346531239950512,-0.00809729628733293,-0.008064601489752521,73395.16484375,74223.844921875,1,74396.9453125
2021-04-01,74396.9453125,74396.9453125,72187.13505569307,72555.43676516089,559400.0,VNM,0.0,55.22308107253984,-1053.0006477745046,-1086.1507169920146,33.15006921751001,71710.73151171498,74135.45234375,76560.17317578502,6.541326060282506,0.5539222836079095,0.026079646190692137,0.02642269587573076,73284.67421875,74135.45234375,1,75649.1796875
2021-04-02,75649.1796875,76606.76424050634,75207.21758611247,75501.85898703749,384000.0,VNM,0.0,59.895043444178036,-813.6106018545979,-1031.6426939645312,218.03209210993327,71731.15640679061,74124.403125,76517.64984320938,6.457378723639827,0.8185581642917356,0.01669171328430061,0.01683179826456671,73358.3359375,74124.403125,0,75575.515625
2021-04-05,75575.515625,76975.06221064815,75280.87423854775,76975.06221064815,282270.0,VNM,0.0,59.50173840402392,-622.6587178506306,-949.8458987417512,327.18718089112053,71712.51913357063,74139.135546875,76565.75196017936,6.546114667792743,0.7959635627307614,-0.0009742333178344217,-0.0009737589066305397,73490.9265625,74139.135546875,-1,74765.234375
2021-04-06,74765.234375,75649.15832820197,74249.61206896552,75575.49799876848,345260.0,VNM,0.0,55.20735904623436,-530.5945355928125,-865.9956261119635,335.401090519151,71734.09827205417,74175.96484375,76617.83141544583,6.583983307368019,0.6206596498924923,-0.010779367481599519,-0.010721478289616337,73586.68359375,74175.96484375,-1,73734.015625
2021-04-07,73734.015625,74396.95882242758,73660.35526973027,74396.95882242758,350370.0,VNM,0.0,50.23797488236825,-534.6802812815004,-799.7325571458708,265.0522758643705,71693.76303857047,74139.134765625,76584.50649267953,6.596709645412104,0.4171661436699096,-0.01388876141246387,-0.013792757537918199,73689.80859375,74139.134765625,0,73586.6875
2021-04-08,73586.6875,74028.64958708709,73218.38576076076,73954.98923923924,360380.0,VNM,0.0,49.5517224465163,-543.5408124474925,-748.4942082061951,204.95339575870264,71693.94267838812,74032.327734375,76370.71279036187,6.317199870783218,0.4047119649447726,-0.002000101424839718,-0.001998102554854553,73792.93359375,74032.327734375,0,73513.03125
2021-04-09,73513.03125,73660.35195390783,73071.06913827657,73586.69160195392,271670.0,VNM,0.0,49.18994892943365,-550.1643390026293,-708.828234365482,158.6638953628527,71671.54938493246,73943.9359375,76216.32249006756,6.146241808086198,0.4051867546449942,-0.0010014465939390618,-0.0010009453136479163,73969.7203125,73943.9359375,0,73660.3515625
2021-04-12,73660.3515625,73881.33261718751,73292.0498046875,73660.3515625,363240.0,VNM,0.0,49.9766121188933,-537.3319848620595,-674.5289844647975,137.19699960273806,71677.33546625481,73862.91015625,76048.48484624519,5.917921959402399,0.4536601071843384,0.0020019973569893107,0.0020040026916996467,74043.38125,73862.91015625,0,73660.3515625
2021-04-13,73660.3515625,74912.5775390625,73439.3705078125,74249.63437500001,379910.0,VNM,0.0,49.97661211889329,-521.154704725006,-643.8541285168392,122.69942379183317,71653.61122775814,73826.08046875,75998.54970974187,5.885370663586707,0.4618570189342841,0.0,0.0,74102.309375,73826.08046875,0,73144.7265625
2021-04-14,73144.7265625,73660.34900553877,72850.08516647785,73660.34900553877,349850.0,VNM,0.0,47.02148454183416,-543.6735911734577,-623.8180210481629,80.14442987470522,71590.88120009738,73781.884375,75972.8875499026,5.939135855535295,0.35459678475173456,-0.007024649649821805,-0.007000034469866745,74168.60390625,73781.884375,0,72997.40625
2021-04-15,72997.40625,74028.65114152372,72850.0855512109,73365.70799697276,354940.0,VNM,0.0,46.18127294583725,-566.8729306567402,-612.4290029698784,45.5560723131382,71597.236674918,73656.662109375,75716.087543832,5.5919597100365594,0.3399417992162409,-0.002016124434023321,-0.002014093420311336,74028.65,73656.662109375,-1,71376.8671875
2021-04-16,71376.8671875,72702.75326528637,71008.565499226,72629.09292763157,487640.0,VNM,0.0,38.11351447690125,-707.8627323241817,-631.5157488407391,-76.34698348344261,71272.66527286138,73479.87734375,75687.08941463863,6.007664004562634,0.02360487150576881,-0.022450081816053794,-0.022199954022338986,73601.41875,73479.87734375,0,70787.59375
2021-04-19,70787.59375,71818.83861212278,70050.99027705514,71376.87652835588,572290.0,VNM,0.0,35.67306691149709,-857.2655835471232,-676.6657157820159,-180.59986776510732,70827.48951354636,73306.7765625,75786.06361145365,6.764141502906895,-0.008045813727619186,-0.008290072053770938,-0.00825580416624394,73122.6265625,73306.7765625,1,73144.7265625
2021-04-20,73144.7265625,74396.95249559416,71376.87818636707,71450.53853537262,698720.0,VNM,0.0,49.58034717010932,-776.5163043508801,-696.6358334957888,-79.88047085509129,70804.83484423325,73273.6296875,75742.42453076674,6.7385629831516525,0.47389351218235887,0.03275627830384788,0.03329867124491703,72960.57578125,73273.6296875,0,73144.7265625
2021-04-21,73144.7265625,73144.7265625,73144.7265625,73144.7265625,0.0,VNM,0.0,49.58034717010932,-704.4020109139237,-698.1890689794159,-6.212941934507853,70840.57347143586,73295.727734375,75750.88199731415,6.699310693350831,0.46924812950567224,0.0,0.0,72901.646875,73295.727734375,-1,72187.1328125
2021-04-22,72187.1328125,73292.03790656888,71450.52941645408,73144.7172273597,316630.0,VNM,0.0,44.99683926086057,-716.2640800341178,-701.8040711903562,-14.460008843761557,70793.42177806316,73277.3125,75761.20322193684,6.779426365935135,0.28054999000722536,-0.013178220006172612,-0.013091767445213787,72761.69140625,73277.3125,1,73292.046875
2021-04-23,73292.046875,73586.68826947236,71303.21746231156,72187.14164572864,355680.0,VNM,0.0,50.66421897074683,-629.2538775780267,-687.2940324678904,58.04015488986363,70977.60702050295,73354.656640625,75731.70626074706,6.480978110953636,0.48683036208100045,0.01519028785966216,0.015306246687618374,72739.59296875,73354.656640625,-1,70713.9296875
2021-04-26,70713.9296875,72923.73999023438,70713.9296875,71450.5331217448,504560.0,VNM,0.0,40.244423176586984,-759.5742766215117,-701.7500812986146,-57.824195322897026,70593.13557964763,73244.166015625,75895.19645160237,7.238884897431516,0.02278248227803517,-0.03580952320427111,-0.03517594742437735,72444.95078125,73244.166015625,0,70492.9453125
2021-04-27,70492.9453125,71082.22803193574,69977.32293299373,70713.9263322884,314940.0,VNM,0.0,39.49463335803481,-870.6494194433762,-735.529948927567,-135.1194705158092,70192.04098891745,73115.259765625,76038.47854233255,7.99619336942272,0.05146797871924306,-0.003129940456604434,-0.003125047299401662,72128.21015625,73115.259765625,-1,69019.7421875
2021-04-28,69019.7421875,70566.60940835113,68872.4214997999,70492.94906450107,502710.0,VNM,0.0,34.83515473913255,-1065.272650492494,-801.4784892405524,-263.79416125194155,69497.48468438761,72942.1578125,76386.83094061237,9.44494440914955,-0.06934511332711116,-0.021120055989334138,-0.020898589475431772,71715.71171875,72942.1578125,0,68872.421875
2021-04-29,68872.421875,69388.04428475935,67399.21498997326,69019.74256350267,649970.0,VNM,0.0,34.39811734916552,-1217.3674273772049,-884.656276867883,-332.7111505093219,68846.79016840184,72665.931640625,76485.07311284816,10.51150487166673,0.003355689594713567,-0.002136747501979829,-0.002134466282122438,71303.21328125,72665.931640625,0,68872.421875
2021-04-30,68872.421875,68872.421875,68872.421875,68872.421875,0.0,VNM,0.0,34.39811734916552,-1322.6568687840045,-972.2563952511074,-350.4004735328971,68420.89159288182,72327.09375,76233.29590711818,10.801490712788892,0.05779658399084258,0.0,0.0,71052.76875,72327.09375,0,68872.421875
2021-05-03,68872.421875,68872.421875,68872.421875,68872.421875,0.0,VNM,0.0,34.39811734916552,-1390.0755836322642,-1055.8202329273388,-334.2553507049254,68109.09115398375,71991.9390625,75874.78697101623,10.786896308336228,0.09829521256060976,0.0,0.0,70861.2515625,71991.9390625,-1,67472.875
2021-05-04,67472.875,68504.11981441049,67399.21465611355,68504.11981441049,411280.0,VNM,0.0,29.9410719099817,-1538.6999618338014,-1152.3961787086314,-386.30378312516996,67480.40695172979,71627.32109375,75774.2352357702,11.579140692955653,-0.000908139338293733,-0.020530169568022852,-0.0203208604677807,70294.06640625,71627.32109375,0,67767.5234375
2021-05-05,67767.5234375,68504.126953125,67472.88203125,67472.88203125,379230.0,VNM,0.0,31.940485374426615,-1614.1038020277774,-1244.7377033724606,-369.3660986553168,66967.31682411052,71328.996484375,75690.6761446395,12.229751924856924,0.09173147453714654,0.004357409577493285,0.0043669168906763645,69756.34609375,71328.996484375,-1,65999.671875
2021-05-06,65999.671875,67767.52022879464,65999.671875,67767.52022879464,744860.0,VNM,0.0,26.967606662642268,-1795.8117353475245,-1354.9525097674734,-440.8592255800511,66120.09681508197,70949.645703125,75779.19459116804,13.614018337036784,-0.012467514344881709,-0.026433304416874654,-0.026087002635273193,69137.6,70949.645703125,-1,64084.4921875
2021-05-07,64084.4921875,65705.01957614943,63937.1715158046,65557.69890445402,674450.0,VNM,0.0,22.822158520500537,-2070.4882765769726,-1498.0596631293733,-572.4286134475992,64916.95996438028,70478.21875,76039.47753561972,15.781496423303748,-0.07484526516126808,-0.029447367318954813,-0.029018018318746397,68216.84453125,70478.21875,1,68504.1328125
2021-05-10,68504.1328125,68504.1328125,63421.56811995968,64084.5113407258,817690.0,VNM,0.0,44.155951999680894,-1909.531462422543,-1580.3540229880073,-329.1774394345357,64804.10079629795,70220.4078125,75636.71482870204,15.426589462893672,0.3415640957144764,0.06669167337320939,0.06896583672800127,67995.86484375,70220.4078125,-1,67178.2421875
2021-05-11,67178.2421875,69609.03384560032,67178.2421875,68872.43031284265,419700.0,VNM,0.0,40.535854883892775,-1867.4337067468732,-1637.7699597397805,-229.66374700709275,64571.712225902,69896.30234375,75220.89246159799,15.235684690905856,0.2447634375518337,-0.01954465834711543,-0.019354899778514678,67664.39453125,69896.30234375,0,67620.1953125
2021-05-12,67620.1953125,67914.83668641068,66294.30912990196,66367.96947337964,319930.0,VNM,0.0,42.23583051191557,-1777.9143188899034,-1665.798831569805,-112.11548732009828,64433.63869834792,69620.07578125,74806.51286415207,14.899257217697206,0.3072009322794138,0.006557267528885702,0.006578813476042944,67524.43984375,69620.07578125,-1,66662.6171875
