close,high,low,open,volume,time,sentiment_score,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,log_ret,price_change,sma_10,sma_20,target_3class,target_price_next
39055.92578125,40942.68548082729,39055.92578125,39464.722487799234,552990.0,2021-01-28,0.0,58.090032861007536,750.0314931939793,645.5962731011126,104.43522009286664,36602.728444153996,39280.7646484375,41958.800852721004,13.635356787231128,0.45802169014222593,-0.07220828519096205,-0.06966289981104468,39964.714453125,39280.7646484375,1,41728.83203125
41728.83203125,41728.83203125,37420.73339032962,38835.80309393354,843720.0,2021-01-29,0.0,66.96370079529095,837.5659866426868,683.9902158094275,153.5757708332593,36762.391501153055,39497.7419921875,42233.09248322194,13.850667673992522,0.9078252579286028,0.066197692172019,0.06843791810161659,40118.799609375,39497.7419921875,-1,38898.6953125
38898.6953125,41162.80699474888,38835.80577804482,40879.793034467766,752460.0,2021-02-01,0.0,53.94070636915158,670.8363388558573,681.3594404187135,-10.52310156285614,36895.78521467249,39546.483203125,42197.1811915775,13.405480203322078,0.37780805405839923,-0.07023159496708833,-0.06782209280697238,40033.8953125,39546.483203125,1,40250.875
40250.875,40345.212985402286,37892.42536494292,38678.5740149361,420210.0,2021-02-02,0.0,58.13039673587602,640.4290247624012,673.1733572874512,-32.74433252504991,37038.21498360111,39642.3935546875,42246.57212577389,13.138351837882206,0.6168279034449351,0.034171032221199195,0.03476156916413298,40285.46328125,39642.3935546875,0,40093.64453125
40093.64453125,40659.67245404412,39024.48190544254,40250.87573816313,539640.0,2021-02-03,0.0,57.47570635937917,596.7646925693844,657.8916243438379,-61.12693177445351,37227.52185194523,39739.8763671875,42252.230882429765,12.6439976412039,0.5704057014876317,-0.003913911499656215,-0.003906262130947469,40433.26015625,39739.8763671875,0,40408.09765625
40408.09765625,41162.80144864737,39464.71791575329,40093.63897111014,479340.0,2021-02-04,0.0,58.48278814116285,580.8385882293369,642.4810171209376,-61.64242889160073,37474.064637627984,39860.9427734375,42247.82090924701,11.976024497845449,0.614617263990927,0.007812370659117097,0.007842966851140387,40543.3203125,39860.9427734375,1,41037.01953125
41037.01953125,41288.588695432816,40250.87096015983,40408.09846333155,443910.0,2021-02-05,0.0,60.49778577251218,611.9120339660003,636.3672204899502,-24.45518652394992,37674.49350646886,39997.7326171875,42320.971727906144,11.616854049973412,0.7236719649879295,0.015444372799569247,0.015564253490728763,40647.09140625,39997.7326171875,-1,40408.09765625
40408.09765625,40974.12550054803,39559.05588980296,40879.78752649835,585750.0,2021-02-08,0.0,57.49278630276326,579.1135637144835,624.9164891348569,-45.80292542037341,37916.7000264469,40103.0763671875,42289.4527079281,10.90378364353864,0.569754983023457,-0.015444372799569263,-0.015325720098192552,40537.030078125,40103.0763671875,0,40408.09765625
40408.09765625,40408.09765625,40408.09765625,40408.09765625,0.0,2021-02-09,0.0,57.49278630276326,546.8171717656951,609.2966256610246,-62.47945389532947,37958.069922022754,40139.2388671875,42320.40781235225,10.868013478689953,0.5616318120745551,0.0,0.0,40426.96875,40139.2388671875,0,40408.09765625
40408.09765625,40408.09765625,40408.09765625,40408.09765625,0.0,2021-02-10,0.0,57.49278630276325,515.2821960592046,590.4937397406605,-75.21154368145596,38001.984242368344,40175.4013671875,42348.818492006656,10.819641127937821,0.5535323584242628,0.0,0.0,40269.73828125,40175.4013671875,0,40408.09765625
