,0
BBB_5_2.0_2.0,0.08279361199414069
volume,0.07174397344197957
sentiment_score,0.06471186845709456
MACDh_12_26_9,0.06467949735484602
MACDs_12_26_9,0.062186405461653715
MACD_12_26_9,0.06010985291519139
RSI_14,0.0564996376747206
BBP_5_2.0_2.0,0.05502089271801355
BBU_5_2.0_2.0,0.05310758579487814
price_change,0.05204645196151903
log_ret,0.05068987870507165
low,0.047101741059783236
sma_10,0.042405202275941994
BBL_5_2.0_2.0,0.04174152464807574
high,0.04118350190691499
close,0.04011768714837846
open,0.03903748827151646
BBM_5_2.0_2.0,0.03753297077226482
sma_20,0.0372902274380153
